epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4519,2.28971,6.94092,2.94934,0.00423,0.72989,0.22484,0.15964,1.98061,8.84805,3.17494,0.00036,0.00036,0.00036
2,24.6877,2.41657,5.99633,3.00872,0.00453,0.78161,0.20056,0.10239,2.40995,8.83575,3.335,0.000721685,0.000721685,0.000721685
3,34.8917,2.49352,5.69898,3.01164,0.44609,0.12499,0.23525,0.12807,2.28458,8.66248,3.45826,0.00106456,0.00106456,0.00106456
4,45.0145,2.7375,5.56089,3.16297,0.1962,0.05747,0.08058,0.02608,4.36387,10.1201,5.51201,0.00138863,0.00138863,0.00138863
5,54.6555,2.93169,5.37237,3.26981,0.35918,0.17241,0.18706,0.06711,4.15365,9.1739,5.15712,0.00169388,0.00169388,0.00169388
6,64.3498,2.77646,5.01342,3.13684,0.12397,0.12069,0.05446,0.01958,4.9443,11.2807,6.89692,0.0017525,0.0017525,0.0017525
7,73.852,2.89239,4.68096,3.239,0.14623,0.10345,0.04608,0.01926,4.13114,11.9829,5.20229,0.001703,0.001703,0.001703
8,83.5376,2.94142,4.54743,3.25527,0.10699,0.1954,0.08664,0.03585,3.41789,9.08659,4.60083,0.0016535,0.0016535,0.0016535
9,89.3058,2.722,4.10252,3.06857,0.27932,0.36207,0.23575,0.12206,3.02427,6.72272,3.9433,0.001604,0.001604,0.001604
10,93.5272,2.71092,3.87403,3.03981,0.13684,0.22414,0.10321,0.06357,4.51817,12.1407,4.93096,0.0015545,0.0015545,0.0015545
11,97.5771,2.7287,3.76503,3.04543,0.4464,0.44253,0.37675,0.20829,2.87092,4.73946,3.57798,0.001505,0.001505,0.001505
12,101.898,2.6986,3.85482,3.09243,0.29175,0.29885,0.20986,0.09601,3.26264,6.74193,3.81444,0.0014555,0.0014555,0.0014555
13,106.074,2.67488,3.60871,3.07672,0.364,0.43103,0.29421,0.15975,3.13098,4.47185,4.00492,0.001406,0.001406,0.001406
14,109.773,2.61989,3.47834,3.01571,0.49361,0.42529,0.38783,0.21337,2.87107,3.76206,3.61966,0.0013565,0.0013565,0.0013565
15,113.691,2.58974,3.26891,2.93287,0.42707,0.45402,0.40787,0.22717,2.79056,3.75298,3.45957,0.001307,0.001307,0.001307
16,117.45,2.6959,3.23165,3.04316,0.59603,0.52874,0.51443,0.29983,2.83086,3.42165,3.43938,0.0012575,0.0012575,0.0012575
17,121.195,2.59423,3.09291,2.98163,0.647,0.52299,0.55348,0.33185,2.54916,3.08998,3.2031,0.001208,0.001208,0.001208
18,125.195,2.59595,2.9784,2.97928,0.58479,0.55747,0.49867,0.2952,2.81942,3.14197,3.52757,0.0011585,0.0011585,0.0011585
19,129.241,2.45653,2.85011,2.85114,0.5909,0.48976,0.48572,0.2805,2.8478,3.08302,3.37618,0.001109,0.001109,0.001109
20,133.232,2.52209,2.89243,2.88398,0.61438,0.48851,0.50524,0.29053,2.89043,3.11702,3.61504,0.0010595,0.0010595,0.0010595
21,140.948,2.38248,2.84542,2.81044,0.59495,0.53448,0.51794,0.31311,2.68756,2.87036,3.37697,0.00101,0.00101,0.00101
22,150.043,2.36281,2.64528,2.78089,0.6034,0.54598,0.56297,0.3602,2.65328,2.6012,3.4128,0.0009605,0.0009605,0.0009605
23,159.576,2.31611,2.65333,2.78685,0.59328,0.55331,0.51447,0.2982,2.68718,2.70788,3.39954,0.000911,0.000911,0.000911
24,165.672,2.35073,2.55534,2.74495,0.62333,0.53448,0.55827,0.34133,2.79893,2.56135,3.36621,0.0008615,0.0008615,0.0008615
25,169.483,2.35143,2.59575,2.7991,0.6532,0.58621,0.58225,0.37271,2.3229,2.42798,3.01512,0.000812,0.000812,0.000812
26,173.323,2.3207,2.47485,2.76323,0.66076,0.54598,0.5801,0.37484,2.45053,2.48879,3.06459,0.0007625,0.0007625,0.0007625
27,177.402,2.26375,2.42244,2.73523,0.71052,0.52299,0.57803,0.36263,2.61166,2.62993,3.20438,0.000713,0.000713,0.000713
28,181.197,2.1829,2.22386,2.62765,0.70049,0.54023,0.56348,0.35786,2.69075,2.68868,3.34282,0.0006635,0.0006635,0.0006635
29,184.956,2.10625,2.16909,2.6239,0.70893,0.56897,0.60234,0.38928,2.54497,2.5599,3.14726,0.000614,0.000614,0.000614
30,188.755,2.12667,2.21663,2.66447,0.45544,0.53448,0.48379,0.28889,2.55955,2.88479,3.11528,0.0005645,0.0005645,0.0005645
31,213.847,2.09137,2.38177,2.73582,0.71036,0.57471,0.60769,0.4008,2.36543,2.42497,2.94168,0.000515,0.000515,0.000515
32,217.571,1.96032,2.111,2.64613,0.63007,0.52859,0.54814,0.33556,2.51755,2.59194,3.08657,0.0004655,0.0004655,0.0004655
33,221.956,1.93053,1.97565,2.60915,0.53982,0.50562,0.51831,0.33067,2.47615,2.53167,3.08778,0.000416,0.000416,0.000416
34,225.753,1.8088,1.88648,2.50843,0.75108,0.52874,0.62815,0.40959,2.41216,2.31648,3.02939,0.0003665,0.0003665,0.0003665
35,229.825,1.79795,1.8584,2.46793,0.67089,0.53448,0.59174,0.39861,2.43351,2.39293,3.01271,0.000317,0.000317,0.000317
36,233.823,1.79121,1.81789,2.49695,0.57081,0.55798,0.5739,0.39014,2.48456,2.42914,3.06053,0.0002675,0.0002675,0.0002675
37,237.753,1.75447,1.72006,2.41816,0.57269,0.61494,0.58191,0.3952,2.36377,2.44121,3.01264,0.000218,0.000218,0.000218
38,241.581,1.73891,1.68295,2.45385,0.58,0.6092,0.58045,0.38156,2.38681,2.38948,2.99882,0.0001685,0.0001685,0.0001685
39,245.435,1.71832,1.58195,2.39385,0.66253,0.56322,0.60415,0.3947,2.39244,2.32371,3.03013,0.000119,0.000119,0.000119
40,249.398,1.60733,1.59766,2.36862,0.68317,0.54528,0.60683,0.39414,2.38889,2.33577,3.03852,6.95e-05,6.95e-05,6.95e-05
