epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51965,1.22087,2.19746,1.49607,0.24033,0.55172,0.27771,0.12839,1.23303,2.731,1.57831,0.00036,0.00036,0.00036
2,16.0255,1.23323,1.7027,1.45503,0.60568,0.34483,0.41957,0.21844,1.39093,2.52763,1.81365,0.000721685,0.000721685,0.000721685
3,22.2073,1.21934,1.65408,1.46113,0.6568,0.49494,0.54206,0.29347,1.29744,2.21234,1.78956,0.00106456,0.00106456,0.00106456
4,28.3044,1.31041,1.68789,1.52891,0.57158,0.39105,0.39537,0.21981,1.48903,2.31299,1.9888,0.00138863,0.00138863,0.00138863
5,34.2214,1.39392,1.70913,1.58892,0.48268,0.37356,0.39458,0.19555,1.62864,2.2543,2.31848,0.00169388,0.00169388,0.00169388
6,40.1965,1.32353,1.62989,1.52333,0.29575,0.3046,0.23031,0.09285,2.13877,3.5721,2.80672,0.0017525,0.0017525,0.0017525
7,46.2998,1.33536,1.54933,1.52285,0.26659,0.3908,0.2553,0.12074,2.60263,4.30695,3.35198,0.001703,0.001703,0.001703
8,52.5115,1.37863,1.54816,1.53349,0.63328,0.52299,0.54724,0.31813,1.48512,1.97774,1.99218,0.0016535,0.0016535,0.0016535
9,58.4654,1.29196,1.45328,1.48045,0.43085,0.38506,0.35479,0.16122,2.00573,2.59389,2.48064,0.001604,0.001604,0.001604
10,64.55,1.26391,1.40852,1.47142,0.55574,0.45402,0.4437,0.22631,2.02271,2.31172,2.48019,0.0015545,0.0015545,0.0015545
11,70.6474,1.28626,1.40731,1.50228,0.57582,0.48851,0.46562,0.24919,1.6946,1.80689,2.13862,0.001505,0.001505,0.001505
12,76.7499,1.29849,1.39782,1.51295,0.51329,0.5,0.49191,0.27915,1.43367,1.69737,1.83229,0.0014555,0.0014555,0.0014555
13,82.8775,1.22628,1.35712,1.47673,0.64147,0.55526,0.52679,0.29245,1.3515,1.54852,1.76804,0.001406,0.001406,0.001406
14,88.9035,1.22237,1.26896,1.4688,0.42961,0.46751,0.45283,0.21526,1.68708,1.71547,2.11929,0.0013565,0.0013565,0.0013565
15,94.9815,1.21602,1.24415,1.43687,0.65646,0.53812,0.56714,0.34151,1.3801,1.46839,1.77812,0.001307,0.001307,0.001307
16,100.903,1.21116,1.23298,1.44602,0.4984,0.60345,0.51692,0.29857,1.33934,1.51937,1.68966,0.0012575,0.0012575,0.0012575
17,106.82,1.18611,1.15113,1.43294,0.67659,0.66667,0.66688,0.40081,1.26759,1.26029,1.63593,0.001208,0.001208,0.001208
18,112.881,1.17759,1.16201,1.41655,0.77499,0.5977,0.61627,0.33417,1.47089,1.36598,1.82947,0.0011585,0.0011585,0.0011585
19,118.891,1.12601,1.12649,1.3659,0.64355,0.55172,0.61982,0.34974,1.29506,1.349,1.68448,0.001109,0.001109,0.001109
20,124.945,1.15519,1.13557,1.39845,0.67312,0.63793,0.65993,0.37062,1.45646,1.33096,1.79348,0.0010595,0.0010595,0.0010595
21,128.063,1.12238,1.09952,1.38773,0.78761,0.48851,0.60929,0.3678,1.26454,1.34904,1.64156,0.00101,0.00101,0.00101
22,131.303,1.1049,1.01745,1.35616,0.70867,0.58046,0.6512,0.40463,1.21225,1.305,1.62135,0.0009605,0.0009605,0.0009605
23,134.456,1.0693,1.0463,1.35255,0.79899,0.56322,0.66562,0.41925,1.24134,1.21971,1.59658,0.000911,0.000911,0.000911
24,137.782,1.04451,1.00614,1.32171,0.73637,0.63218,0.68462,0.45476,1.1621,1.11459,1.5533,0.0008615,0.0008615,0.0008615
25,140.886,1.05744,1.01339,1.34215,0.76433,0.63793,0.67121,0.44823,1.20983,1.16824,1.61001,0.000812,0.000812,0.000812
26,144.317,1.06189,0.96943,1.32543,0.76567,0.59195,0.65124,0.40046,1.32952,1.25418,1.68152,0.0007625,0.0007625,0.0007625
27,147.748,1.05597,0.95394,1.32164,0.74365,0.63218,0.69894,0.43995,1.27906,1.12052,1.70436,0.000713,0.000713,0.000713
28,151.269,0.98661,0.88761,1.26687,0.69747,0.64368,0.69771,0.46161,1.2101,1.1089,1.59875,0.0006635,0.0006635,0.0006635
29,154.76,0.93124,0.85555,1.24835,0.83833,0.62644,0.73645,0.49372,1.15672,0.99061,1.53006,0.000614,0.000614,0.000614
30,158.212,0.97895,0.90024,1.29849,0.67024,0.71264,0.70816,0.44464,1.21925,1.09064,1.58676,0.0005645,0.0005645,0.0005645
31,183.86,0.97082,0.96557,1.32863,0.73333,0.61639,0.66747,0.41255,1.31084,1.25379,1.64633,0.000515,0.000515,0.000515
32,187.571,0.94524,0.85516,1.31815,0.69491,0.66092,0.68608,0.44463,1.22911,1.14926,1.61762,0.0004655,0.0004655,0.0004655
33,190.861,0.84652,0.78426,1.22893,0.77018,0.65484,0.69838,0.45684,1.16859,1.08527,1.5466,0.000416,0.000416,0.000416
34,194.313,0.84191,0.74686,1.2077,0.66411,0.62644,0.63855,0.3878,1.32613,1.27831,1.68732,0.0003665,0.0003665,0.0003665
35,197.81,0.80044,0.70792,1.17805,0.66147,0.6064,0.65739,0.41309,1.37847,1.22562,1.78083,0.000317,0.000317,0.000317
36,201.075,0.80176,0.69981,1.18178,0.73636,0.62069,0.69352,0.44763,1.30427,1.15384,1.69335,0.0002675,0.0002675,0.0002675
37,206.189,0.79498,0.67526,1.16558,0.76132,0.5977,0.68136,0.43744,1.28919,1.14082,1.69332,0.000218,0.000218,0.000218
38,212.291,0.75743,0.65066,1.15658,0.77014,0.61618,0.69299,0.44392,1.32838,1.10753,1.7678,0.0001685,0.0001685,0.0001685
39,218.012,0.74341,0.60839,1.12818,0.75586,0.67816,0.7212,0.46699,1.26698,1.0429,1.69229,0.000119,0.000119,0.000119
40,223.93,0.73402,0.62211,1.14324,0.79197,0.67241,0.73302,0.47577,1.23962,1.02861,1.65901,6.95e-05,6.95e-05,6.95e-05
